Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value,Category
11,Cellular Response To Type II Interferon (GO:0071346),4.6131178772014955e-10,16.765106382978722,360.39860290201466,"['GBP5', 'CCL8', 'CCL20', 'STAT1', 'IRF1', 'WNT5A', 'CASP1', 'CCL3', 'CCL2', 'GBP2', 'GBP1']",8.211349821418662e-08,0,0,GO_Biological_Process_2023
12,Regulation Of Cell Population Proliferation (GO:0042127),5.979152042540526e-09,3.730985603543743,70.64616419109792,"['CXCL9', 'CXCL8', 'KIF14', 'CXCL1', 'TTK', 'FOXM1', 'SCIN', 'NAMPT', 'CXCR2', 'CHP2', 'S100A11', 'LYN', 'OSR2', 'STAT1', 'CDC6', 'SOD2', 'SHCBP1', 'AGT', 'WARS1', 'NME1', 'CDC25B', 'SULT2B1', 'GREM1', 'CXCL10', 'CXCL11', 'CEACAM6', 'PRC1', 'IL1B', 'IRF1', 'IL7R', 'CDKN3']",9.755983082745291e-07,0,0,GO_Biological_Process_2023
13,Response To Molecule Of Bacterial Origin (GO:0002237),1.1881791877225954e-08,14.14464234415398,258.11509275709875,"['CXCL8', 'SLPI', 'FZD5', 'NOS2', 'IL1B', 'CD24', 'CXCL2', 'S100A9', 'SELE', 'S100A8']",1.7895806535083398e-06,0,0,GO_Biological_Process_2023
14,Cytokine-Mediated Signaling Pathway (GO:0019221),2.152274623601458e-08,6.03598981077147,106.56030269523461,"['LYN', 'CXCL9', 'CXCL8', 'CCL20', 'STAT1', 'CXCL1', 'CXCL2', 'CXCL10', 'CXCL11', 'CCL8', 'OAS2', 'IL1B', 'CXCR2', 'CCL3', 'CCL2', 'IL7R', 'BIRC3']",3.010109795008325e-06,0,0,GO_Biological_Process_2023
15,Cellular Response To Lipid (GO:0071396),2.47521049646523e-08,6.4124692370795735,112.31026458437884,"['LYN', 'CD274', 'CXCL9', 'CXCL8', 'FZD7', 'WNT5A', 'CXCL1', 'CXCL2', 'CXCL10', 'CXCL11', 'IL1B', 'TNIP3', 'ZC3H12A', 'CASP1', 'CCL2', 'GBP2']",3.2309747680526135e-06,0,0,GO_Biological_Process_2023
16,Cellular Response To Oxygen-Containing Compound (GO:1901701),3.453864953032754e-08,4.695515151515152,80.67452323955816,"['LYN', 'CD274', 'CXCL9', 'CXCL8', 'IGFBP5', 'FZD7', 'AQP9', 'WNT5A', 'MMP3', 'CXCL1', 'CXCL2', 'CXCL10', 'CXCL11', 'IL1B', 'TNIP3', 'P2RY2', 'ZC3H12A', 'CHP2', 'CASP1', 'CCL2', 'GBP2']",4.226667236273833e-06,0,0,GO_Biological_Process_2023
17,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),4.0944719408117316e-08,14.965063291139241,254.57133495091685,"['CENPE', 'CCNB1', 'STIL', 'KIF4A', 'NUSAP1', 'CDK1', 'TTK', 'KIF11', 'DLGAP5']",4.705753541215023e-06,0,0,GO_Biological_Process_2023
18,Positive Regulation Of Defense Response (GO:0031349),4.326024705917795e-08,8.993589743589743,152.49559283773397,"['GBP5', 'LGALS2', 'PLSCR1', 'IL1B', 'WNT5A', 'NFKBIZ', 'CASP1', 'CCL3', 'S100A12', 'S100A9', 'S100A8', 'AGT']",4.705753541215023e-06,0,0,GO_Biological_Process_2023
19,Positive Regulation Of Response To External Stimulus (GO:0032103),6.532789271194929e-08,7.705857462370791,127.4845248937236,"['GBP5', 'WNT5A', 'AGT', 'LGALS2', 'PLSCR1', 'PLAU', 'IL1B', 'NFKBIZ', 'CASP1', 'CCL3', 'S100A12', 'S100A9', 'S100A8']",6.732211259473511e-06,0,0,GO_Biological_Process_2023
20,Response To Interleukin-1 (GO:0070555),9.206049507151679e-08,11.118079096045198,180.12199730098217,"['CXCL8', 'CCL8', 'CCL20', 'IL1B', 'ZC3H12A', 'CCL3', 'CCL2', 'GBP2', 'GBP1', 'SELE']",8.58354520714428e-06,0,0,GO_Biological_Process_2023
21,Mitotic Spindle Organization (GO:0007052),9.206049507151679e-08,11.118079096045198,180.12199730098217,"['CENPE', 'TPX2', 'CCNB1', 'STIL', 'PRC1', 'KIF4A', 'TTK', 'KIF11', 'DLGAP5', 'AURKA']",8.58354520714428e-06,0,0,GO_Biological_Process_2023
22,Mitotic Sister Chromatid Segregation (GO:0000070),1.249973427548539e-07,9.199744680851063,146.22969660097723,"['TPX2', 'CENPE', 'CCNB1', 'PRC1', 'CENPK', 'NUSAP1', 'KIF14', 'NCAPG', 'KIF11', 'CEP55', 'DLGAP5']",1.1124763505181998e-05,0,0,GO_Biological_Process_2023
23,Cellular Response To Cytokine Stimulus (GO:0071345),2.934483325964638e-07,4.965125527093744,74.6832546351676,"['GBP5', 'CXCL8', 'CCL20', 'STAT1', 'WNT5A', 'MT1X', 'CCL8', 'IFI16', 'IL1B', 'IRF1', 'ZC3H12A', 'CASP1', 'CCL3', 'CCL2', 'GBP2', 'IL7R', 'GBP1']",2.4981384140168527e-05,0,0,GO_Biological_Process_2023
24,G2/M Transition Of Mitotic Cell Cycle (GO:0000086),3.565446656810704e-07,18.63422864084222,276.6587834695538,"['CCNA2', 'CCNB1', 'MELK', 'CDK1', 'FOXM1', 'AURKA', 'CDC25B']",2.908810230848066e-05,0,0,GO_Biological_Process_2023
25,Antimicrobial Humoral Response (GO:0019730),4.334728565260068e-07,9.258003766478343,135.64305575843323,"['CXCL10', 'CXCL11', 'CXCL9', 'CXCL8', 'SLPI', 'S100A12', 'CXCL1', 'PI3', 'S100A9', 'CXCL2']",3.394959412311685e-05,0,0,GO_Biological_Process_2023
26,Cell Cycle G2/M Phase Transition (GO:0044839),5.157994050697849e-07,17.503106377583364,253.40206092621648,"['CCNA2', 'CCNB1', 'MELK', 'CDK1', 'FOXM1', 'AURKA', 'CDC25B']",3.884366288948611e-05,0,0,GO_Biological_Process_2023
27,Positive Regulation Of Inflammatory Response (GO:0050729),6.261244080633926e-07,8.862243058059862,126.58576961688256,"['LGALS2', 'IL1B', 'WNT5A', 'NFKBIZ', 'CASP1', 'CCL3', 'S100A12', 'S100A9', 'S100A8', 'AGT']",4.540561448104159e-05,0,0,GO_Biological_Process_2023
28,Cellular Response To Interleukin-1 (GO:0071347),6.720881771481547e-07,10.380801687763713,147.54105016921267,"['CXCL8', 'CCL8', 'CCL20', 'IL1B', 'ZC3H12A', 'CCL3', 'CCL2', 'GBP2', 'GBP1']",4.699816610200311e-05,0,0,GO_Biological_Process_2023
29,Response To Tumor Necrosis Factor (GO:0034612),8.898600864597969e-07,8.498789346246973,118.40684646668235,"['CXCL8', 'CCL8', 'CCL20', 'UBD', 'ZC3H12A', 'CCL3', 'CCL2', 'GBP2', 'SELE', 'GBP1']",6.008089825132009e-05,0,0,GO_Biological_Process_2023
30,Lymphocyte Chemotaxis (GO:0048247),1.0167244835547425e-06,15.607712314825285,215.3696421106679,"['GPR15LG', 'CXCL10', 'CXCL11', 'CCL8', 'CCL20', 'CCL3', 'CCL2']",6.63582179600062e-05,0,0,GO_Biological_Process_2023
31,Mitotic Cell Cycle Phase Transition (GO:0044772),1.1468946780803622e-06,8.245091458298372,112.78009226502958,"['CCNA2', 'CCNB2', 'CCNB1', 'MELK', 'CCND1', 'CDK1', 'FOXM1', 'CDC25B', 'AURKA', 'CDKN3']",7.243934773165643e-05,0,0,GO_Biological_Process_2023
32,Response To Interferon-Beta (GO:0035456),1.2207992987029592e-06,21.446739130434782,292.01890189074095,"['BST2', 'PLSCR1', 'IFI16', 'STAT1', 'IRF1', 'XAF1']",7.469765708938732e-05,0,0,GO_Biological_Process_2023
33,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),1.2890672298052368e-06,11.615509361639393,157.52479510392286,"['CXCL10', 'CXCL9', 'CXCL11', 'CXCL8', 'S100A12', 'CXCL1', 'CXCL2', 'S100A9']",7.648465563511072e-05,0,0,GO_Biological_Process_2023
34,Defense Response To Bacterium (GO:0042742),1.5493833270520706e-06,5.714648450666247,76.44858718856153,"['NOS2', 'GPR15LG', 'SLPI', 'OAS2', 'IL1B', 'LCN2', 'CASP1', 'S100A12', 'PI3', 'GBP2', 'S100A9', 'GBP1', 'S100A8']",8.922625159905748e-05,0,0,GO_Biological_Process_2023
35,Positive Regulation Of Cell Cycle Process (GO:0090068),2.0116677160179426e-06,7.707940991839297,101.10156621094849,"['STIL', 'PLSCR1', 'IL1B', 'NUSAP1', 'KIF14', 'NCAPG', 'CDC6', 'CDC25B', 'AURKA', 'MAD2L1']",0.00011253843965608947,0,0,GO_Biological_Process_2023
36,Cellular Response To Tumor Necrosis Factor (GO:0071356),2.172791350363529e-06,7.636837194837506,99.58052241550894,"['CXCL8', 'CCL8', 'CCL20', 'STAT1', 'ZC3H12A', 'CCL3', 'CCL2', 'GBP2', 'GBP1', 'BIRC3']",0.00011817570733366083,0,0,GO_Biological_Process_2023
37,Positive Regulation Of Cell Population Proliferation (GO:0008284),2.4544123822878976e-06,3.6871882107838454,47.62970790378351,"['LYN', 'OSR2', 'STAT1', 'WNT5A', 'KIF14', 'TTK', 'FOXM1', 'AGT', 'NME1', 'CDC25B', 'BST2', 'CCNA2', 'GREM1', 'CEACAM6', 'PRC1', 'IL1B', 'NAMPT', 'CXCR2', 'CHP2', 'IL7R']",0.00012988484985188389,0,0,GO_Biological_Process_2023
38,Regulation Of Mitotic Cell Cycle (GO:0007346),3.396413042406819e-06,7.236182756079588,91.12373470267788,"['CDC20', 'CCNB1', 'CDCA2', 'UBD', 'CKS2', 'MKI67', 'DLGAP5', 'CDC25B', 'AURKA', 'MAD2L1']",0.00017051735223160388,0,0,GO_Biological_Process_2023
39,Response To Cytokine (GO:0034097),3.396413042406819e-06,7.236182756079588,91.12373470267788,"['BST2', 'CD274', 'PLSCR1', 'STAT1', 'LAMP3', 'UBD', 'KYNU', 'IL1B', 'XAF1', 'SELE']",0.00017051735223160388,0,0,GO_Biological_Process_2023
40,Negative Regulation Of Cell Population Proliferation (GO:0008285),5.0120378539519986e-06,3.976742502834809,48.53084510000232,"['LYN', 'CXCL8', 'IGFBP5', 'WNT5A', 'CXCL1', 'CDC6', 'SOD2', 'WARS1', 'NME1', 'SULT2B1', 'GREM1', 'SCIN', 'IL1B', 'IRF1', 'PPARGC1A', 'S100A11', 'CDKN3']",0.00024533925295095035,0,0,GO_Biological_Process_2023
41,Positive Regulation Of Interleukin-1 Beta Production (GO:0032731),6.123345181213364e-06,11.542092050209204,138.54437094432188,"['GBP5', 'IFI16', 'FZD5', 'WNT5A', 'CASP1', 'CCL3', 'TRIM16']",0.0002924270698735553,0,0,GO_Biological_Process_2023
42,Regulation Of Interleukin-1 Beta Production (GO:0032651),9.108393374796648e-06,8.703228659885006,101.01240656092314,"['GBP5', 'IFI16', 'FZD5', 'ZC3H12A', 'WNT5A', 'CASP1', 'CCL3', 'TRIM16']",0.00041925109345777466,0,0,GO_Biological_Process_2023
43,Regulation Of Inflammatory Response (GO:0050727),9.207250775630393e-06,4.799512204344785,55.65283618744503,"['WNT5A', 'MMP3', 'SELE', 'AGT', 'LGALS2', 'IL1B', 'NFKBIZ', 'CASP1', 'CCL3', 'S100A12', 'S100A9', 'S100A8', 'BIRC3']",0.00041925109345777466,0,0,GO_Biological_Process_2023
44,Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992),1.2036032222087098e-05,10.302301255230125,116.70040664910557,"['CDC20', 'CCNB1', 'STIL', 'CCND1', 'CDK1', 'DLGAP5', 'CDC25B']",0.0005356034338828759,0,0,GO_Biological_Process_2023
45,Positive Regulation Of Interleukin-1 Production (GO:0032732),1.3373853307966713e-05,10.121045291051898,113.58048558340785,"['GBP5', 'IFI16', 'FZD5', 'WNT5A', 'CASP1', 'CCL3', 'TRIM16']",0.0005819112172666405,0,0,GO_Biological_Process_2023
46,Defense Response To Symbiont (GO:0140546),1.5240815582814664e-05,6.023090149840334,66.80530612954706,"['BST2', 'GBP5', 'PLSCR1', 'MLKL', 'IFI16', 'OAS2', 'STAT1', 'IRF1', 'CASP1', 'GBP2']",0.0006487286285032851,0,0,GO_Biological_Process_2023
47,Defense Response To Virus (GO:0051607),2.3332651500478054e-05,5.147884293569208,54.90556725731675,"['BST2', 'GBP5', 'CXCL10', 'PLSCR1', 'MLKL', 'IFI16', 'OAS2', 'STAT1', 'IRF1', 'CASP1', 'GBP2']",0.0009720283327220432,0,0,GO_Biological_Process_2023
48,Positive Regulation Of Protein-Containing Complex Assembly (GO:0031334),2.836439895744678e-05,7.344164332399626,76.89616018133967,"['GBP5', 'TPPP3', 'MMP1', 'PLEK', 'MMP3', 'GBP2', 'FERMT2', 'WARS1']",0.0011570311074725166,0,0,GO_Biological_Process_2023
49,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),3.211389537459441e-05,4.553379953379953,47.11027868134986,"['BST2', 'STAT1', 'IL1B', 'UBD', 'TNIP3', 'ZC3H12A', 'WNT5A', 'LPAR1', 'CASP1', 'S100A12', 'TRIM22', 'BIRC3']",0.001283245043743997,0,0,GO_Biological_Process_2023
50,Negative Regulation Of Cellular Process (GO:0048523),3.949196157180888e-05,3.1082271699011788,31.51560025179535,"['LYN', 'CXCL8', 'SUSD2', 'CXCL1', 'CDC6', 'SOD2', 'WARS1', 'NME1', 'RND1', 'GPR15LG', 'SULT2B1', 'BST2', 'SCIN', 'IL1B', 'IRF1', 'TGFBI', 'FBP1', 'S100A11', 'CDKN3']",0.0015465052151520354,0,0,GO_Biological_Process_2023
51,Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029),4.61057262827736e-05,10.482446808510637,104.66275958478451,"['CCNA2', 'CCNB2', 'CCNB1', 'CCND1', 'CDC6', 'CDKN3']",0.0017700982757190334,0,0,GO_Biological_Process_2023
52,Regulation Of Innate Immune Response (GO:0045088),4.915329964717295e-05,8.119570982379633,80.550744526855,"['GBP5', 'PLSCR1', 'CFH', 'IFI16', 'IRF1', 'PARP9', 'BIRC3']",0.0018508107828685506,0,0,GO_Biological_Process_2023
53,Positive Regulation Of Chromosome Segregation (GO:0051984),5.9675672710683443e-05,23.305785123966942,226.68572593692946,"['CCNB1', 'CDK1', 'NCAPG', 'CDC6']",0.0021597142756059093,0,0,GO_Biological_Process_2023
54,Leukocyte Aggregation (GO:0070486),6.203306399548623e-05,60.95679012345679,590.5398140128326,"['IL1B', 'S100A9', 'S100A8']",0.0021597142756059093,0,0,GO_Biological_Process_2023
55,Regulation Of Mitotic Nuclear Division (GO:0007088),6.323222102052233e-05,9.852,95.25599851359907,"['CCNB1', 'CDCA2', 'IL1B', 'NUSAP1', 'MKI67', 'AURKA']",0.0021597142756059093,0,0,GO_Biological_Process_2023
56,Positive Regulation Of Cellular Metabolic Process (GO:0031325),6.323222102052233e-05,9.852,95.25599851359907,"['ARG2', 'CCNB1', 'CXCL8', 'ZC3H12A', 'CDK1', 'AGT']",0.0021597142756059093,0,0,GO_Biological_Process_2023
57,Positive Regulation Of Mitotic Nuclear Division (GO:0045840),6.490985595047891e-05,13.640387275242047,131.5275854662111,"['CDC20', 'IL1B', 'NUSAP1', 'DLGAP5', 'AURKA']",0.0021597142756059093,0,0,GO_Biological_Process_2023
58,Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010389),6.490985595047891e-05,13.640387275242047,131.5275854662111,"['CCNB1', 'CCND1', 'KIF14', 'CDK1', 'CDC25B']",0.0021597142756059093,0,0,GO_Biological_Process_2023
59,Response To Lipid (GO:0033993),6.507821361631698e-05,6.476190476190476,62.42996279068747,"['SLPI', 'NOS2', 'IL1B', 'HSD17B2', 'TRIM16', 'S100A9', 'SELE', 'S100A8']",0.0021597142756059093,0,0,GO_Biological_Process_2023
60,Lipopolysaccharide-Mediated Signaling Pathway (GO:0031663),9.26758525014539e-05,20.390495867768596,189.35435404851643,"['LYN', 'IL1B', 'CCL3', 'CCL2']",0.0030243219866307788,0,0,GO_Biological_Process_2023
61,Negative Regulation Of Viral Process (GO:0048525),0.00010273776596914289,8.954090909090908,82.22837863151497,"['BST2', 'PLSCR1', 'SLPI', 'IFI16', 'OAS2', 'STAT1']",0.0032977138650423245,0,0,GO_Biological_Process_2023
62,Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010971),0.00011338033577169809,19.1900826446281,174.33734486287858,"['CCNB1', 'CCND1', 'CDK1', 'CDC25B']",0.0035806241522739492,0,0,GO_Biological_Process_2023
63,Lymphocyte Migration (GO:0072676),0.00014110777012602184,11.363531581373906,100.74891909732116,"['GPR15LG', 'CCL8', 'CCL20', 'CCL3', 'CCL2']",0.004385539903281758,0,0,GO_Biological_Process_2023
64,Peptidyl-Cysteine Modification (GO:0018198),0.0001461860311487865,40.63374485596708,358.8215891488816,"['NOS2', 'S100A9', 'S100A8']",0.004472378890458187,0,0,GO_Biological_Process_2023
65,Monocyte Chemotaxis (GO:0002548),0.0001585826829216628,11.055848379499832,96.73020942581182,"['CCL8', 'CCL20', 'CCL3', 'CCL2', 'S100A12']",0.004776998356317165,0,0,GO_Biological_Process_2023
66,Cell-Cell Signaling By Wnt (GO:0198738),0.00016453882751178443,17.168334058286213,149.57677528214364,"['WNT5A', 'GPC4', 'CD24', 'FERMT2']",0.004881318549516272,0,0,GO_Biological_Process_2023
67,Regulation Of Viral Genome Replication (GO:0045069),0.00017365757328762353,8.070901639344262,69.8812978773664,"['BST2', 'PLSCR1', 'CXCL8', 'SLPI', 'IFI16', 'OAS2']",0.005074948186524879,0,0,GO_Biological_Process_2023
68,Positive Regulation Of Cell Cycle G2/M Phase Transition (GO:1902751),0.0001955487916316563,16.30909090909091,139.2747540107997,"['CCNB1', 'CCND1', 'CDK1', 'CDC25B']",0.005630654911982103,0,0,GO_Biological_Process_2023
69,T Cell Chemotaxis (GO:0010818),0.00020694103581317156,34.82716049382716,295.44147219460575,"['CXCL10', 'CXCL11', 'CCL3']",0.005872326784379564,0,0,GO_Biological_Process_2023
70,Epithelial Cell Migration (GO:0010631),0.0002455252010806358,9.975204938771379,82.9150103390945,"['ANLN', 'STAT1', 'S100A12', 'S100P', 'S100A9']",0.0068676906245126405,0,0,GO_Biological_Process_2023
71,Cellular Defense Response (GO:0006968),0.00030063879271845375,9.510276946830068,77.12455179979628,"['CXCL9', 'FCMR', 'NCF2', 'RAB23', 'CXCR2']",0.008290855720320177,0,0,GO_Biological_Process_2023
72,Cell Surface Receptor Signaling Pathway Involved In Cell-Cell Signaling (GO:1905114),0.0003137534396222549,14.179662234998203,114.38596130623817,"['WNT5A', 'GPC4', 'CD24', 'FERMT2']",0.008532350483060764,0,0,GO_Biological_Process_2023
73,Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071),0.0003314774734538698,9.293662768766502,74.46036796322952,"['CDC20', 'CENPE', 'CCNB1', 'CDC6', 'DLGAP5']",0.00889086154825585,0,0,GO_Biological_Process_2023
74,Positive Regulation Of Hydrolase Activity (GO:0051345),0.00034044504671292485,4.453952853786099,35.56595747013876,"['CCL8', 'RGS1', 'CTSL', 'CCL20', 'CHP2', 'CCL3', 'CCL2', 'RAPGEFL1', 'FERMT2']",0.009007991911674416,0,0,GO_Biological_Process_2023
75,Wnt Signaling Pathway (GO:0016055),0.0003470131514030235,7.03,56.002019585424165,"['FZD5', 'FZD7', 'WNT5A', 'GPC4', 'CD24', 'FERMT2']",0.009059356672628267,0,0,GO_Biological_Process_2023
76,Regulation Of Chromosome Segregation (GO:0051983),0.0003625326988832567,13.588154269972451,107.65073745852395,"['CDCA2', 'NCAPG', 'CDC6', 'MKI67']",0.00921868862874567,0,0,GO_Biological_Process_2023
77,Positive Regulation Of Defense Response To Virus By Host (GO:0002230),0.0003625326988832567,13.588154269972451,107.65073745852395,"['STAT1', 'ZC3H12A', 'PARP9', 'TRIM22']",0.00921868862874567,0,0,GO_Biological_Process_2023
78,Defense Response To Fungus (GO:0050832),0.000416503534818276,13.04396694214876,101.52922469985988,"['GPR15LG', 'S100A12', 'S100A9', 'S100A8']",0.010455306681720313,0,0,GO_Biological_Process_2023
79,Positive Regulation Of Cell Motility (GO:2000147),0.00042761705053118447,3.924612418668166,30.444327252875993,"['CCNA2', 'F10', 'CEACAM6', 'PLAU', 'IL1B', 'SEMA3G', 'CCL3', 'SOD2', 'CLDN1', 'FERMT2']",0.010473119580782717,0,0,GO_Biological_Process_2023
80,Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079),0.00042791091239153075,6.740068493150685,52.27998516383766,"['CCNA2', 'CCNB2', 'CCNB1', 'CCND1', 'CDC6', 'CDKN3']",0.010473119580782717,0,0,GO_Biological_Process_2023
81,Icosanoid Metabolic Process (GO:0006690),0.00043846343375890574,8.699125982166505,67.26367889880873,"['CYP2J2', 'CYP2S1', 'EPHX1', 'CASP1', 'FADS1']",0.010598906213579474,0,0,GO_Biological_Process_2023
82,Regulation Of Cytokinesis (GO:0032465),0.0004579131032316862,6.648648648648648,51.120336654201886,"['PRC1', 'KIF14', 'KIF20A', 'CDC6', 'CDC25B', 'AURKA']",0.010926348257382035,0,0,GO_Biological_Process_2023
83,Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900),0.00047350439244195835,5.480892608089261,41.95814776801924,"['CCNA2', 'CCNB2', 'CCNB1', 'CCND1', 'CDC6', 'TRIB2', 'CDKN3']",0.010926348257382035,0,0,GO_Biological_Process_2023
84,Negative Regulation Of Viral Genome Replication (GO:0045071),0.00047933424127544286,8.517461964038727,65.09991927461904,"['BST2', 'PLSCR1', 'SLPI', 'IFI16', 'OAS2']",0.010926348257382035,0,0,GO_Biological_Process_2023
85,Response To UV-A (GO:0070141),0.0004799111083426226,24.37530864197531,186.27390662936926,"['CCND1', 'MMP1', 'MMP3']",0.010926348257382035,0,0,GO_Biological_Process_2023
86,Negative Regulation Of Bone Mineralization (GO:0030502),0.0004799111083426226,24.37530864197531,186.27390662936926,"['SRGN', 'GREM1', 'CCL3']",0.010926348257382035,0,0,GO_Biological_Process_2023
87,Positive Regulation Of Cell Migration (GO:0030335),0.0005758982033916353,3.4959321757560935,26.078184491962933,"['CCNA2', 'F10', 'CEACAM6', 'PLAU', 'IL1B', 'SEMA3G', 'CCL3', 'SOD2', 'CLDN1', 'S100A11', 'FERMT2']",0.012961019336101401,0,0,GO_Biological_Process_2023
88,Regulation Of Integrin Activation (GO:0033623),0.0006052624731487817,22.15824915824916,164.18926605497734,"['PLEK', 'KIF14', 'FERMT2']",0.013353264769562634,0,0,GO_Biological_Process_2023
89,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),0.0006069665804346652,3.0842473374662216,22.845133607146266,"['OSR2', 'FOXD1', 'CXCL8', 'WNT5A', 'AGT', 'WARS1', 'PLSCR1', 'CDH3', 'IL1B', 'LAMP3', 'ZC3H12A', 'CCL3', 'PPARGC1A']",0.013353264769562634,0,0,GO_Biological_Process_2023
90,Positive Regulation Of Cytokine Production (GO:0001819),0.0006399644441780855,3.237762237762238,23.810820600105927,"['GBP5', 'SLC7A5', 'CD274', 'PNP', 'IFI16', 'FZD5', 'NOS2', 'IL1B', 'IRF1', 'WNT5A', 'CASP1', 'AGT']",0.013922782018896572,0,0,GO_Biological_Process_2023
91,Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990),0.0006739503641227572,6.148125,44.89578576109097,"['ANLN', 'CENPE', 'UBD', 'KIF14', 'CDC6', 'AURKA']",0.01450104190057537,0,0,GO_Biological_Process_2023
92,Carboxylic Acid Metabolic Process (GO:0019752),0.000690466806737729,11.242519236249644,81.8246588323865,"['CYP2J2', 'CYP2S1', 'SLC2A1', 'GNE']",0.014694934865135581,0,0,GO_Biological_Process_2023
